company,country,director,genre,budget,gross,votes,name,rating,released,runtime,score,star,writer,year
British Screen Productions,UK,Mike Leigh,Comedy,0,1516414,6911,Life Is Sweet,R,1991-12,103,7.5,Alison Steadman,Mike Leigh,1990
British Broadcasting Corporation (BBC),UK,Anthony Minghella,Comedy,0,1554742,6378,Truly Madly Deeply,PG,5/24/1991,106,7.3,Juliet Stevenson,Anthony Minghella,1990
Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Adventure,25000000,2075084,9389,The Sheltering Sky,R,12/12/1990,138,6.8,Debra Winger,Paul Bowles,1990
Kanoon,Iran,Abbas Kiarostami,Biography,0,2670,10254,Close-Up,NOT RATED,10/30/1991,98,8.3,Mohsen Makhmalbaf,Abbas Kiarostami,1990
Mirage Enterprises,USA,Sydney Pollack,Drama,40000000,9243140,6021,Havana,R,12/14/1990,144,6.1,Robert Redford,Judith Rascoe,1990
Incorporated Television Company (ITC),UK,Jim Abrahams,Comedy,0,3989297,4051,"Welcome Home, Roxy Carmichael",PG-13,10/12/1990,95,5.9,Winona Ryder,Karen Leigh Hopkins,1990
Lambart Productions,France,Patrice Leconte,Comedy,0,1155800,7465,The Hairdresser's Husband,R,10/3/1990,82,7.4,Jean Rochefort,Claude Klotz,1990
Carolco Pictures,USA,Bob Logan,Comedy,0,1382462,6879,Repossessed,PG-13,9/14/1990,80,4.8,Leslie Nielsen,Bob Logan,1990
60/80 Productions,USA,Franco Amurri,Action,0,6488144,4152,Flashback,R,2/2/1990,108,6.2,Dennis Hopper,David Loughery,1990
Orion Pictures,USA,Roger Donaldson,Comedy,0,27627310,11388,Cadillac Man,R,5/18/1990,97,5.6,Robin Williams,Ken Friedman,1990
Cannon Group,USA,Cedric Sundstrom,Action,0,358047,3660,American Ninja 4: The Annihilation,R,3/8/1991,99,3.8,Michael Dudikoff,Gideon Amir,1990
ADC Films,Italy,Dario Argento,Horror,9000000,349618,4726,Two Evil Eyes,R,10/25/1991,120,6.1,Adrienne Barbeau,Dario Argento,1990
Orion Pictures,USA,Woody Allen,Comedy,12000000,7331647,11331,Alice,PG-13,1/10/1991,106,6.6,Mia Farrow,Woody Allen,1990
Universal Pictures,USA,William Friedkin,Drama,0,17037887,4004,The Guardian,R,4/27/1990,92,5.3,Jenny Seagrove,Dan Greenburg,1990
Carolco Pictures,USA,Peter Hyams,Action,0,10873237,6377,Narrow Margin,R,9/21/1990,97,6.6,Gene Hackman,Peter Hyams,1990
Malpaso Productions,USA,Clint Eastwood,Adventure,24000000,2319124,9279,White Hunter Black Heart,PG,9/14/1990,112,6.7,Clint Eastwood,Peter Viertel,1990
Cannon Films,USA,Aaron Norris,Action,0,6698361,5538,Delta Force 2: The Colombian Connection,R,8/24/1990,111,4.7,Chuck Norris,James Bruner,1990
Westerly Films,USA,Whit Stillman,Comedy,225000,2938208,7776,Metropolitan,PG-13,8/3/1990,98,7.5,Carolyn Farina,Whit Stillman,1990
Channel Four Films,UK,Hal Hartley,Comedy,700000,356122,7712,Trust,R,9/20/1991,107,7.5,Adrienne Shelly,Hal Hartley,1990
Hemdale,UK,Malcolm Mowbray,Comedy,0,1171762,1943,The Boyfriend School,PG-13,9/21/1990,100,5.9,Steve Guttenberg,Sarah Bird,1990
Filmation Associates,USA,John Howley,Family,0,3299382,1876,Happily Ever After,G,5/28/1993,75,5.1,Edward Asner,Martha Moran,1990
Concorde Pictures,USA,Adam Simon,Horror,2000000,1627955,2792,Brain Dead,R,1/19/1990,85,6.1,Bill Pullman,Charles Beaumont,1990
Regency International Pictures,USA,Sidney Lumet,Crime,0,11207891,4235,Q & A,R,4/27/1990,132,6.5,Nick Nolte,Edwin Torres,1990
TriStar Pictures,USA,Barry Levinson,Drama,0,15740796,5052,Avalon,PG,10/19/1990,128,7.3,Aidan Quinn,Barry Levinson,1990
"Movie Group, The",USA,Martin Sheen,Drama,0,2070871,4621,Cadence,PG-13,2/15/1991,97,6.6,Charlie Sheen,Dennis Shryack,1990
Carolco Pictures,USA,Bob Rafelson,Adventure,0,4011793,2938,Mountains of the Moon,R,2/23/1990,136,7.3,Patrick Bergin,William Harrison,1990
Universal Pictures,USA,Sidney Poitier,Comedy,0,24707633,6587,Ghost Dad,PG,6/29/1990,83,4.3,Bill Cosby,Brent Maddock,1990
Hibiscus Films,New Zealand,Jane Campion,Biography,0,1054638,5390,An Angel at My Table,R,9/20/1990,158,7.6,Kerry Fox,Janet Frame,1990
Paramount Pictures,USA,Tony Bill,Comedy,0,13236513,3612,Crazy People,R,4/13/1990,90,5.9,Dudley Moore,Mitch Markowitz,1990
Cannon Films,USA,Joel Silberg,Drama,0,4263112,860,Lambada,PG,3/16/1990,104,3.2,J. Eddie Peck,Joel Silberg,1990
Touchstone Pictures,USA,John R. Cherry III,Comedy,0,25029569,7766,Ernest Goes to Jail,PG,4/6/1990,81,5.4,Jim Varney,Charlie Cohen,1990
Interscope Communications,USA,Robert Resnikoff,Crime,10000000,22424195,2847,The First Power,R,4/6/1990,98,5.7,Lou Diamond Phillips,Robert Resnikoff,1990
Belbo Films,France,Robert Altman,Biography,0,2231274,3036,Vincent & Theo,PG-13,4/27/1990,133,7.1,Tim Roth,Julian Mitchell,1990
Silver Screen Partners IV,USA,Patrick Read Johnson,Adventure,3000000,15369573,2760,Spaced Invaders,PG,4/27/1990,100,5.3,Douglas Barr,Patrick Read Johnson,1990
Cine-Source,USA,Peter Bogdanovich,Drama,0,2268181,2071,Texasville,R,9/28/1990,123,6,Jeff Bridges,Larry McMurtry,1990
Avenue Pictures,USA,James Foley,Crime,0,2678414,2695,"After Dark, My Sweet",R,8/24/1990,114,6.6,Jason Patric,Jim Thompson,1990
Epic Productions,USA,Rich Correll,Action,0,8533973,2899,Ski Patrol,PG,1/12/1990,91,5.4,Roger Rose,Steven Long Mitchell,1990
Concorde Pictures,USA,Sally Mattison,Comedy,350000,1242995,1781,Slumber Party Massacre III,R,9/7/1990,87,4.4,Keely Christian,Catherine Cyran,1990
Paisley Park Films,USA,Prince,Drama,0,4562778,1462,Graffiti Bridge,PG-13,11/2/1990,95,4.3,Prince,Prince,1990
Aurora,USA,Peter Israelson,Comedy,0,449868,1514,Side Out,PG-13,3/30/1990,100,5.5,C. Thomas Howell,David Thoreau,1990
Hanna-Barbera Productions,USA,Joseph Barbera,Animation,0,10900000,3913,Jetsons: The Movie,G,7/6/1990,82,5.5,George O'Hanlon,Dennis Marks,1990
"Geffen Company, The",USA,Paul Brickman,Drama,0,6070725,2077,Men Don't Leave,PG-13,2/23/1990,115,6.7,Jessica Lange,Barbara Benedek,1990
Central Cinema Company Film (CCC),Germany,Agnieszka Holland,Drama,0,5575738,12706,Europa Europa,R,11/14/1990,112,7.7,Solomon Perel,Paul Hengge,1990
HandMade Films,UK,Jonathan Lynn,Comedy,0,10959015,6610,Nuns on the Run,PG-13,3/30/1990,89,5.9,Eric Idle,Jonathan Lynn,1990
TriStar Pictures,USA,Bob Clark,Action,15000000,5585154,3785,Loose Cannons,R,2/9/1990,94,4.8,Gene Hackman,Richard Christian Matheson,1990
"Samuel Goldwyn Company, The",USA,John Erman,Drama,0,20240128,2013,Stella,PG-13,2/2/1990,109,6,Bette Midler,Olive Higgins Prouty,1990
21st Century Film Corporation,USA,Greydon Clark,Drama,0,1823154,1340,The Forbidden Dance,PG-13,3/16/1990,97,3.4,Laura Harring,Menahem Golan,1990
Cineplex-Odeon Films,UK,James Ivory,Drama,0,7698010,2427,Mr. & Mrs. Bridge,PG-13,1/18/1991,126,6.7,Paul Newman,Evan S. Connell,1990
Boy of the Year,USA,Tom Ropelewski,Comedy,0,21036771,2370,Madhouse,PG-13,2/16/1990,90,5.3,Richard Alexander,Tom Ropelewski,1990
Dave Bell Associates,USA,Richard Pearce,Drama,0,4803039,2789,The Long Walk Home,PG,4/12/1991,97,7.3,Sissy Spacek,John Cork,1990
Hemdale,UK,Ken Loach,Drama,0,1030938,2832,Hidden Agenda,R,1991-01,108,7,Frances McDormand,Jim Allen,1990
New Line Cinema,USA,Robert Shaye,Comedy,0,1382259,893,Book of Love,R,2/1/1991,100,6.1,Chris Young,William Kotzwinkle,1990
Touchstone Pictures,USA,Alan Alda,Comedy,0,19740070,2976,Betsy's Wedding,R,6/22/1990,94,5.6,Alan Alda,Alan Alda,1990
Morgan Creek Productions,USA,Joe Roth,Comedy,0,715983,1927,Coupe de Ville,PG-13,3/9/1990,99,6.7,Patrick Dempsey,Mike Binder,1990
Brigand Films,USA,Jan Egleson,Comedy,0,3417056,3330,A Shock to the System,R,3/23/1990,88,6.7,Michael Caine,Simon Brett,1990
Duffy Films,USA,Leonard Nimoy,Comedy,0,8141292,1033,Funny About Love,PG-13,9/21/1990,101,4.9,Gene Wilder,Bob Greene,1990
Castle Rock Entertainment,USA,Carl Reiner,Comedy,0,17854930,2115,Sibling Rivalry,PG-13,10/26/1990,87,5.4,Kirstie Alley,Martha Goldhirsh,1990
Vision PDG,USA,Tibor Takács,Fantasy,6500000,2032973,1308,Gate 2: The Trespassers,R,2/28/1992,90,4.7,Louis Tripp,Michael Nankin,1990
The Mount Company,USA,Roger Corman,Drama,11500000,334748,3088,Roger Corman's Frankenstein Unbound,R,11/2/1990,85,5.5,John Hurt,Brian Aldiss,1990
Erre Produzioni,Italy,Giuseppe Tornatore,Drama,0,1745470,2821,Everybody's Fine,PG-13,5/31/1991,118,7.8,Marcello Mastroianni,Massimo De Rita,1990
Twentieth Century Fox Film Corporation,USA,Alan Parker,Drama,0,847306,2198,Come See the Paradise,R,1991-01,138,6.7,Dennis Quaid,Alan Parker,1990
Cinemarque Entertainment,USA,Michael Lehmann,Comedy,5000000,485772,1819,Meet the Applegates,R,2/1/1991,90,5.4,Ed Begley Jr.,Michael Lehmann,1990
Unity Pictures,Australia,Michael Gottlieb,Comedy,0,458996,985,The Shrimp on the Barbie,PG-13,8/31/1990,90,5.6,Cheech Marin,Grant Morris,1990
Bandai Visual Company,Japan,Takeshi Kitano,Action,0,1471,4920,Boiling Point,NOT RATED,11/19/1999,96,6.8,Takeshi Kitano,Takeshi Kitano,1990
Lacewood Productions,Canada,Paul Schibli,Animation,0,1781694,1698,El príncipe Cascanueces,G,11/21/1990,100,6.9,Kiefer Sutherland,E.T.A. Hoffmann,1990
Concorde-New Horizons,USA,Kristine Peterson,Drama,0,2415312,332,Body Chemistry,R,3/9/1990,84,4.4,Marc Singer,Jackson Barr,1990
Park-Schilling Productions Inc.,USA,Michael Rissi,Fantasy,242000,233150,3359,Soultaker,R,10/26/1990,94,2.3,Joe Estevez,Vivian Schilling,1990
Atlas,USA,Bernt Amadeus Capra,Drama,0,774048,2484,Mindwalk,PG,12/5/1991,112,7.6,Liv Ullmann,Bernt Amadeus Capra,1990
Touchstone Pictures,USA,John Boorman,Comedy,0,1106475,1333,Where the Heart Is,R,2/23/1990,107,6.2,Dabney Coleman,Telsche Boorman,1990
Palace Pictures,UK,David Leland,Crime,0,59227,881,Crossing the Line,R,8/31/1990,116,5.8,Kenny Ireland,Don MacPherson,1990
Imagine Films Entertainment,USA,Donald Petrie,Comedy,0,11359129,2385,Opportunity Knocks,PG-13,3/30/1990,103,6,Dana Carvey,Mitchel Katlin,1990
Bonded Filmworks,USA,James Bond III,Horror,0,2218579,959,Def by Temptation,R,5/11/1990,95,4.4,James Bond III,James Bond III,1990
Not specified,USA,Katt Shea,Action,0,1510053,564,Streets,R,1/19/1990,100,6,Christina Applegate,Andy Ruben,1990
Odyssey,USA,Jon Amiel,Comedy,0,1794001,1518,Tune in Tomorrow...,PG-13,11/2/1990,107,6.2,Barbara Hershey,Mario Vargas Llosa,1990
China Film Co-Production Corporation,China,Yimou Zhang,Drama,0,1986433,6221,Ju Dou,PG-13,1991-04,95,7.8,Li Gong,Heng Liu,1990
Filmverlag der Autoren,West Germany,Michael Verhoeven,Comedy,0,2281569,2133,The Nasty Girl,PG-13,1991-03,100,7.5,Lena Stolze,Michael Verhoeven,1990
Epic Productions,USA,Christopher Leitch,Family,0,1393610,605,Courage Mountain,PG,2/16/1990,100,5.8,Juliette Caton,Fred Brogger,1990
Twentieth Century Fox Film Corporation,USA,Richard Benjamin,Action,10000000,2346150,1508,Downtown,R,1/12/1990,96,5.7,Anthony Edwards,Nat Mauldin,1990
Aurora Productions LLC,USA,John Frankenheimer,Drama,0,1305887,1084,The Fourth War,R,3/23/1990,91,5.7,Roy Scheider,Stephen Peters,1990
SVS Films,USA,Charles Burnett,Drama,0,1161135,868,To Sleep with Anger,PG,10/12/1990,102,7.2,Danny Glover,Charles Burnett,1990
Concorde-New Horizons,USA,Jim Wynorski,Horror,0,1547867,543,The Haunting of Morella,R,2/9/1990,82,3.9,Nicole Eggert,Edgar Allan Poe,1990
Warner Bros.,USA,Sondra Locke,Crime,0,2544504,969,Impulse,R,4/6/1990,109,5.7,Theresa Russell,John DeMarco,1990
Gladden Entertainment,USA,Gregg Champion,Comedy,0,4010647,1667,Short Time,PG-13,5/4/1990,97,6.4,Dabney Coleman,John Blumenthal,1990
Gaumont,France,Yves Robert,Adventure,0,1477071,4012,My Mother's Castle,PG,1991-09,98,7.6,Julien Ciamaca,Marcel Pagnol,1990
Twentieth Century Fox Film Corporation,USA,Marisa Silver,Drama,0,1224605,604,Vital Signs,R,4/13/1990,100,5.4,Adrian Pasdar,Larry Ketron,1990
Recorded Picture Company (RPC),UK,Karel Reisz,Drama,0,1372350,892,Everybody Wins,R,1/19/1990,97,5,Debra Winger,Arthur Miller,1990
Iberoamericana Films Internacional,Spain,Carlos Saura,Comedy,0,299090,1831,"¡Ay, Carmela!",PG-13,5/30/1991,102,7.2,Carmen Maura,Rafael Azcona,1990
Avenue Pictures Productions,USA,Bruce Beresford,Drama,0,1464242,740,Mister Johnson,PG-13,1991-04,101,6.5,Pierce Brosnan,William Boyd,1990
David Blocker Productions,USA,Alan Rudolph,Comedy,0,1436308,967,Love at Large,R,3/9/1990,97,5.8,Tom Berenger,Alan Rudolph,1990
Parakletus,USA,James F. Collier,Biography,0,4212828,429,China Cry: A True Story,PG-13,11/2/1990,101,7,Julia Nickson,Nora Lam,1990
Sharmhill Productions,Canada,Steven Hilliard Stern,Crime,0,10468,27,Love & Murder,R,11/8/1991,87,4.4,Todd Waring,Steven Hilliard Stern,1990
Forna Productions,USA,Bruno Barreto,Drama,0,152982,584,A Show of Force,R,5/11/1990,95,5.2,Amy Irving,Anne Nelson,1990
Compagnie Eric Rohmer (CER),France,Éric Rohmer,Comedy,0,201332,2643,A Tale of Springtime,PG,4/4/1990,108,7.4,Anne Teyssèdre,Éric Rohmer,1990
Alexandre Films,France,Diane Kurys,Drama,0,805462,512,C'est la vie,Not specified,1990-11,110,6.3,Nathalie Baye,Diane Kurys,1990
Nouvelles Éditions de Films (NEF),France,Louis Malle,Comedy,0,1576702,2071,May Fools,R,1990-07,100,7.2,Miou-Miou,Louis Malle,1990
"Rank Organisation, The",UK,Michael Tuchner,Comedy,0,113014,806,The Misadventures of Mr. Wilt,R,1/12/1990,92,6.3,Griff Rhys Jones,Tom Sharpe,1990
Gaumont,France,Yves Robert,Adventure,0,1710856,5179,My Father's Glory,G,1991-08,105,7.6,Philippe Caubère,Louis Nucéra,1990
Téléma,France,Étienne Chatiliez,Comedy,0,604624,2759,Auntie Danielle,PG-13,5/17/1991,100,7.3,Tsilla Chelton,Florence Quentin,1990
Artist Circle Entertainment,USA,Jack Fisk,Comedy,0,1373728,651,Daddy's Dyin'... Who's Got the Will?,PG-13,5/4/1990,95,5.8,Beau Bridges,Del Shores,1990
Antea Cinematografica,Switzerland,Xavier Koller,Drama,0,261718,1512,Journey of Hope,PG,4/26/1991,100,7.6,Necmettin Çobanoglu,Xavier Koller,1990
Concorde-New Horizons,Peru,Augusto Tamayo San Román,Action,0,410880,661,Ultra Warrior,R,3/16/1990,100,1.6,Dack Rambo,Len Jenkin,1990
Ellendale Place,USA,Eric Karson,Action,0,855810,425,Angel Town,R,2/23/1990,102,5,Olivier Gruner,S. Warren,1990
Epic Productions,USA,Christopher Monger,Comedy,0,808690,340,Waiting for the Light,PG,11/2/1990,94,6,Shirley MacLaine,Christopher Monger,1990
Orion Pictures,USA,John Mackenzie,Action,0,1531489,879,The Last of the Finest,R,3/9/1990,106,5.7,Brian Dennehy,Jere Cunningham,1990
Cinephile,Canada,Guy Maddin,Comedy,0,33308,1001,Archangel,Not specified,9/1/1990,90,6.8,Michael Gottli,John B. Harvie,1990
Arthur Goldblatt Productions,USA,William Reilly,Drama,0,139155,660,Men of Respect,R,1/18/1991,113,5.3,John Turturro,William Reilly,1990
British Broadcasting Corporation (BBC),UK,James Scott,Comedy,0,541626,125,Strike It Rich,PG,1/26/1990,87,5.1,Robert Lindsay,Graham Greene,1990
Haruki Kadokawa Films,Japan,Haruki Kadokawa,Action,42000000,307775,792,Heaven and Earth,PG-13,2/8/1991,104,7.1,Takaaki Enoki,Haruki Kadokawa,1990
GEA Cinematográfica,Argentina,María Luisa Bemberg,Drama,0,52148,504,"I, the Worst of All",R,11/24/1995,105,7.1,Assumpta Serna,María Luisa Bemberg,1990
Bonkers,USA,Dyan Cannon,Drama,0,115983,139,The End of Innocence,R,9/5/1991,100,5.6,Dyan Cannon,Dyan Cannon,1990
ASK Eurofilm,Soviet Union,Pavel Lungin,Comedy,0,169410,1276,Taxi Blues,Not specified,1/18/1991,110,7.5,Pyotr Mamonov,Pavel Lungin,1990
Multicom Entertainment Group,USA,Sig Shore,Action,0,610402,232,The Return of Superfly,R,11/9/1990,95,5,Nathan Purdee,Anthony Wisdom,1990
BSB,UK,Bernard Rose,Crime,0,85395,587,Chicago Joe and the Showgirl,R,7/27/1990,103,4.9,Emily Lloyd,David Yallop,1990
Strong Heart/Demme Production,USA,Jonathan Demme,Crime,19000000,130742922,990212,The Silence of the Lambs,R,2/14/1991,118,8.6,Jodie Foster,Thomas Harris,1991
Carolco Pictures,USA,James Cameron,Action,102000000,204843350,813779,Terminator 2: Judgment Day,R,7/3/1991,137,8.5,Arnold Schwarzenegger,James Cameron,1991
Walt Disney Pictures,USA,Gary Trousdale,Animation,25000000,218967620,344844,Beauty and the Beast,G,11/22/1991,84,8,Paige O'Hara,Linda Woolverton,1991
Columbia Pictures Corporation,USA,John Singleton,Crime,6500000,57504069,102317,Boyz n the Hood,R,7/12/1991,112,7.8,Cuba Gooding Jr.,John Singleton,1991
Metro-Goldwyn-Mayer (MGM),USA,Barry Sonnenfeld,Comedy,30000000,113502000,104334,The Addams Family,PG-13,11/22/1991,99,6.8,Anjelica Huston,Charles Addams,1991
Universal Pictures,USA,Jon Avnet,Drama,11000000,82418501,55887,Fried Green Tomatoes,PG-13,1/24/1992,130,7.7,Kathy Bates,Fannie Flagg,1991
Amblin Entertainment,USA,Steven Spielberg,Adventure,70000000,119654823,196513,Hook,PG,12/11/1991,142,6.7,Dustin Hoffman,J.M. Barrie,1991
Largo Entertainment,Japan,Kathryn Bigelow,Action,24000000,43218387,124027,Punto de quiebra,R,7/12/1991,122,7.2,Patrick Swayze,Rick King,1991
Pathé Entertainment,USA,Ridley Scott,Adventure,16500000,45361000,109801,Thelma & Louise,R,5/24/1991,130,7.4,Susan Sarandon,Callie Khouri,1991
Amblin Entertainment,USA,Martin Scorsese,Crime,35000000,79100000,138370,Cape Fear,R,11/15/1991,128,7.3,Robert De Niro,John D. MacDonald,1991
Columbia Pictures Corporation,USA,Howard Zieff,Comedy,17000000,59847242,60391,My Girl,PG-13,11/27/1991,102,6.8,Anna Chlumsky,Laurice Elehwany,1991
Warner Bros.,USA,Kevin Reynolds,Action,48000000,165500000,154125,Robin Hood: Prince of Thieves,PG-13,6/14/1991,143,6.9,Kevin Costner,Pen Densham,1991
Beacon Communications,Ireland,Alan Parker,Comedy,0,14919570,27784,The Commitments,R,9/13/1991,118,7.6,Robert Arkins,Roddy Doyle,1991
Universal Pictures,UK,Jack Bender,Action,13000000,14960255,27550,Child's Play 3,R,8/30/1991,90,5,Justin Whalin,Don Mancini,1991
Columbia Pictures Corporation,USA,William A. Graham,Adventure,11000000,2807854,15262,Return to the Blue Lagoon,PG-13,8/2/1991,102,5.1,Brian Krause,Henry De Vere Stacpoole,1991
Paramount Pictures,USA,Nicholas Meyer,Action,30000000,74888996,59567,Star Trek VI: The Undiscovered Country,PG,12/6/1991,113,7.2,William Shatner,Gene Roddenberry,1991
Warner Bros.,France,Oliver Stone,Drama,40000000,70405498,121533,JFK,R,12/20/1991,189,8,Kevin Costner,Oliver Stone,1991
Circle Films,USA,Joel Coen,Comedy,9000000,6153939,96089,Barton Fink,R,8/21/1991,116,7.7,John Turturro,Joel Coen,1991
Walt Disney Pictures,USA,Joe Johnston,Action,35000000,46704056,45621,The Rocketeer,PG,6/21/1991,108,6.4,Billy Campbell,Dave Stevens,1991
Recorded Picture Company (RPC),Canada,David Cronenberg,Drama,16000000,2541541,39143,Naked Lunch,R,4/24/1992,115,7.1,Peter Weller,William S. Burroughs,1991
Touchstone Pictures,USA,Charles Shyer,Comedy,0,89325780,58569,Father of the Bride,PG,12/20/1991,105,6.5,Steve Martin,Frances Goodrich,1991
Twentieth Century Fox Film Corporation,USA,Jim Abrahams,Action,26000000,69467617,85058,Hot Shots!,PG-13,7/31/1991,84,6.7,Charlie Sheen,Jim Abrahams,1991
Applied Action,USA,Dan Aykroyd,Comedy,40000000,8479793,18672,Nothing But Trouble,PG-13,2/15/1991,94,4.9,Chevy Chase,Peter Aykroyd,1991
Constellation,France,Marc Caro,Comedy,0,1794187,70220,Delicatessen,R,4/3/1992,99,7.7,Marie-Laure Dougnac,Jean-Pierre Jeunet,1991
Universal Pictures,USA,Brian Levant,Comedy,15000000,25104700,17894,Problem Child 2,PG-13,7/3/1991,93,4.6,John Ritter,Scott Alexander,1991
Touchstone Pictures,USA,Frank Oz,Comedy,35000000,63710000,53791,What About Bob?,PG,5/17/1991,99,7,Bill Murray,Alvin Sargent,1991
New Line Cinema,USA,Gus Van Sant,Drama,2500000,6401336,40101,My Own Private Idaho,R,7/20/1991,104,7.1,River Phoenix,Gus Van Sant,1991
Castle Rock Entertainment,USA,Ron Underwood,Comedy,27000000,124033791,41443,City Slickers,PG-13,6/7/1991,113,6.7,Billy Crystal,Lowell Ganz,1991
Bill Graham Films,USA,Oliver Stone,Biography,38000000,35183792,72491,The Doors,R,3/1/1991,140,7.2,Val Kilmer,Randall Jahnson,1991
TriStar Pictures,USA,Terry Gilliam,Comedy,24000000,41895491,67814,The Fisher King,R,9/27/1991,137,7.6,Jeff Bridges,Richard LaGravenese,1991
Geffen Pictures,USA,Tony Scott,Action,29000000,59509925,80307,The Last Boy Scout,R,12/13/1991,105,6.9,Bruce Willis,Shane Black,1991
Imagine Films Entertainment,USA,Ron Howard,Action,75000000,77868585,61711,Backdraft,R,5/24/1991,137,6.7,Kurt Russell,Gregory Widen,1991
Twentieth Century Fox Film Corporation,USA,Joseph Ruben,Drama,19000000,101599005,40443,Sleeping with the Enemy,R,2/8/1991,99,6.2,Julia Roberts,Nancy Price,1991
Home Box Office (HBO),USA,Stephen Herek,Comedy,0,25196249,23117,Don't Tell Mom the Babysitter's Dead,PG-13,6/7/1991,102,6.1,Christina Applegate,Neil Landau,1991
Universal Pictures,USA,Wes Craven,Comedy,6000000,24204154,25742,The People Under the Stairs,R,11/1/1991,102,6.3,Brandon Quintin Adams,Wes Craven,1991
Metro-Goldwyn-Mayer (MGM),USA,Robert Mulligan,Drama,0,2853801,12973,The Man in the Moon,PG-13,10/4/1991,99,7.4,Sam Waterston,Jenny Wingfield,1991
TriStar Pictures,USA,Daniel Petrie Jr.,Action,10000000,15073942,17063,Toy Soldiers,R,4/26/1991,111,6.5,Sean Astin,William P. Kennedy,1991
Warner Bros.,USA,Mario Van Peebles,Action,8500000,47624253,25867,New Jack City,R,3/8/1991,97,6.6,Wesley Snipes,Thomas Lee Wright,1991
Golden Harvest Company,USA,Michael Pressman,Action,25000000,78656813,44901,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,3/22/1991,88,6,Paige Turco,Kevin Eastman,1991
New Line Cinema,USA,Rachel Talalay,Comedy,11000000,34872033,33582,Freddy's Dead: The Final Nightmare,R,9/13/1991,89,4.9,Robert Englund,Wes Craven,1991
TriStar Pictures,USA,Michael Lehmann,Action,65000000,17218080,45642,Hudson Hawk,R,5/24/1991,100,5.8,Bruce Willis,Bruce Willis,1991
Hughes Entertainment,USA,Bryan Gordon,Comedy,0,11336986,7577,Career Opportunities,PG-13,3/29/1991,83,5.9,Frank Whaley,John Hughes,1991
Interscope Communications,USA,Peter Hewitt,Adventure,20000000,38037513,52853,Bill & Ted's Bogus Journey,PG,7/19/1991,93,6.2,Keanu Reeves,Chris Matheson,1991
PolyGram Filmed Entertainment,USA,Ate de Jong,Comedy,6788000,43878334,23181,Drop Dead Fred,PG-13,5/24/1991,103,5.8,Phoebe Cates,Elizabeth Livingston,1991
Stone Group Pictures,USA,Sheldon Lettich,Action,15000000,30102717,31574,Double Impact,R,8/9/1991,110,5.5,Jean-Claude Van Damme,Sheldon Lettich,1991
Victor Company of Japan (JVC),France,Jim Jarmusch,Comedy,3500000,2015810,44688,Night on Earth,R,12/12/1991,129,7.8,Winona Ryder,Jim Jarmusch,1991
Paramount Pictures,USA,Stan Dragoti,Comedy,13500000,26255594,8750,Necessary Roughness,PG-13,9/27/1991,108,6.1,Scott Bakula,Rick Natkin,1991
Paramount Pictures,USA,Garry Marshall,Comedy,29000000,22773535,24326,Frankie and Johnny,R,10/11/1991,118,6.7,Al Pacino,Terrence McNally,1991
Joseph S. Vecchio Entertainment,USA,John Landis,Comedy,35000000,23562716,25116,Oscar,PG,4/26/1991,109,6.4,Sylvester Stallone,Claude Magnier,1991
Touchstone Pictures,USA,John R. Cherry III,Comedy,0,14143280,9139,Ernest Scared Stupid,PG,10/11/1991,91,5.7,Jim Varney,John R. Cherry III,1991
Universal Pictures,USA,Phil Nibbelink,Animation,0,22166041,18924,An American Tail: Fievel Goes West,G,11/22/1991,75,6.5,James Stewart,Flint Dille,1991
TriStar Pictures,USA,Barry Levinson,Biography,30000000,49114016,22209,Bugsy,R,12/20/1991,136,6.8,Warren Beatty,James Toback,1991
Columbia Pictures Corporation,USA,Barbra Streisand,Drama,30000000,74787599,13391,The Prince of Tides,R,12/25/1991,132,6.7,Barbra Streisand,Pat Conroy,1991
Paramount Pictures,USA,David Zucker,Comedy,23000000,86930411,89142,The Naked Gun 2½: The Smell of Fear,PG-13,6/28/1991,85,6.8,Leslie Nielsen,Jim Abrahams,1991
Arnold Kopelson Productions,USA,John Flynn,Action,14000000,39673161,18164,Out for Justice,R,4/12/1991,91,6,Steven Seagal,R. Lance Hill,1991
Twentieth Century Fox Film Corporation,USA,Robert Townsend,Drama,0,8750400,2927,The Five Heartbeats,R,3/29/1991,121,7.5,Robert Townsend,Robert Townsend,1991
Universal Pictures,USA,Spike Lee,Drama,14000000,32482682,14307,Jungle Fever,R,6/7/1991,132,6.5,Wesley Snipes,Spike Lee,1991
Alive Films,USA,David Kellogg,Comedy,6000000,1193062,7942,Cool as Ice,PG,10/18/1991,91,2.8,Vanilla Ice,David Stenn,1991
Touchstone Pictures,USA,Damian Harris,Thriller,0,28738096,5305,Deceived,PG-13,9/27/1991,104,6.1,Goldie Hawn,Mary Agnes Donoghue,1991
Paramount Pictures,USA,Mike Nichols,Drama,50000000,43001500,24971,Regarding Henry,PG-13,7/10/1991,108,6.7,Harrison Ford,J.J. Abrams,1991
Little Tokyo Productions,USA,Mark L. Lester,Action,8000000,2275557,13465,Showdown in Little Tokyo,R,8/23/1991,79,6.1,Dolph Lundgren,Stephen Glantz,1991
