company,country,director,genre,budget,gross,votes,name,rating,released,runtime,score,star,writer,year
Paramount Pictures,USA,Tom McLoughlin,Horror,3000000,19472057,28310,Jason Lives: Friday the 13th Part VI,R,8/1/1986,86,5.9,Thom Mathews,Tom McLoughlin,1986
The Saul Zaentz Company,USA,Peter Weir,Adventure,25000000,14302779,23076,The Mosquito Coast,PG,11/26/1986,117,6.6,Harrison Ford,Paul Theroux,1986
Universal Pictures,USA,Don Bluth,Animation,0,47483002,41004,An American Tail,G,11/21/1986,80,6.9,Dom DeLuise,Judy Freudberg,1986
Initial Pictures,UK,Alex Cox,Biography,4000000,2826523,25032,Sid and Nancy,R,11/7/1986,112,7.1,Gary Oldman,Alex Cox,1986
De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,10000000,4711220,4401,King Kong Lives,PG-13,12/19/1986,105,3.8,Brian Kerwin,Ronald Shusett,1986
Empire Pictures,USA,Stuart Gordon,Horror,4500000,1261000,16636,From Beyond,R,10/24/1986,86,6.7,Jeffrey Combs,H.P. Lovecraft,1986
TriStar Pictures,USA,Francis Ford Coppola,Comedy,18000000,41382841,28529,Peggy Sue Got Married,PG-13,10/10/1986,103,6.3,Kathleen Turner,Jerry Leichtling,1986
Freddie Fields Productions,USA,Brian Gibson,Horror,19000000,40996665,20669,Poltergeist II: The Other Side,PG-13,5/23/1986,91,5.7,JoBeth Williams,Mark Victor,1986
Empire Pictures,USA,John Carl Buechler,Comedy,1100000,5450815,7569,Troll,PG-13,1/17/1986,82,4.3,Michael Moriarty,Ed Naha,1986
Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,0,38500726,9344,Running Scared,R,6/27/1986,107,6.5,Gregory Hines,Gary DeVore,1986
Hawn / Sylbert Movie Company,USA,Michael Ritchie,Comedy,0,26285544,10239,Wildcats,R,2/14/1986,106,5.9,Goldie Hawn,Ezra Sacks,1986
Maljack Productions,USA,John McNaughton,Biography,111000,609939,25367,Henry: Portrait of a Serial Killer,UNRATED,9/7/1990,83,7,Michael Rooker,Richard Fire,1986
ABC Motion Pictures,USA,Harry Winer,Adventure,18000000,9697739,11484,SpaceCamp,PG,6/6/1986,107,5.6,Kate Capshaw,Clifford Green,1986
Orion Pictures,USA,Woody Allen,Comedy,6400000,40084041,56988,Hannah and Her Sisters,PG-13,3/14/1986,107,8,Mia Farrow,Woody Allen,1986
Walt Disney Pictures,USA,Ron Clements,Animation,14000000,38600000,36539,The Great Mouse Detective,G,7/2/1986,74,7.2,Vincent Price,Peter Young,1986
De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,8500000,16209459,24851,Raw Deal,R,6/6/1986,106,5.5,Arnold Schwarzenegger,Luciano Vincenzoni,1986
Sunbow Productions,USA,Nelson Shin,Animation,6000000,5849647,33609,The Transformers: The Movie,PG,8/8/1986,84,7.3,Orson Welles,Ron Friedman,1986
TaliaFilm II Productions,USA,Hal Needham,Drama,0,2015882,4039,Rad,PG,3/28/1986,91,7.2,Bart Conner,Sam Bernard,1986
TriStar Pictures,USA,Fred Dekker,Comedy,5000000,591366,16077,Night of the Creeps,R,8/22/1986,88,6.8,Jason Lively,Fred Dekker,1986
Cannon Pictures,USA,Tobe Hooper,Horror,12000000,4884663,5878,Invaders from Mars,PG,6/6/1986,100,5.5,Karen Black,Richard Blake,1986
